Stock,Accumulation/Distribution Value,Stocks_Ranked
USB,164.33,1.0
LUV,97.27,2.0
CRM,57.2,3.0
COP,53.08,4.0
HST,52.54,5.0
CVS,42.4,6.0
CSX,39.18,7.0
DVN,30.87,8.0
T,30.71,9.0
GE,30.1,10.0
JNJ,29.56,11.0
NLSN,29.27,12.0
LUMN,24.25,13.0
UAL,20.99,14.0
SCHW,19.83,15.0
DAL,19.73,16.0
XOM,18.48,17.0
HAL,18.28,18.0
BKR,17.99,19.0
PYPL,16.91,20.0
GM,16.08,21.0
KEY,15.66,22.0
HPE,14.6,23.0
NEE,14.37,24.0
VTRS,14.05,25.0
KO,14.03,26.0
DIS,12.85,27.0
EBAY,12.42,28.0
GPN,12.04,29.0
VZ,10.93,30.0
F,9.75,31.0
TMUS,9.61,32.0
CMCSA,8.71,33.0
RTX,7.93,34.0
AAPL,7.39,35.0
WFC,7.04,36.0
HBAN,6.84,37.0
HPQ,6.41,38.0
RF,6.3,39.0
PG,5.44,40.0
LVS,5.25,41.0
IBM,5.11,42.0
DOW,4.99,43.0
NCLH,4.97,44.0
KMI,4.96,45.0
V,4.8,46.0
MS,4.73,47.0
MSFT,4.53,48.0
ATVI,4.45,49.0
TWTR,3.93,50.0
ADBE,3.77,51.0
MAS,3.66,52.0
GILD,3.54,53.0
JPM,2.83,54.0
FB,2.82,55.0
MDT,2.65,56.0
MPC,2.52,57.0
MU,2.11,58.0
KR,2.08,59.0
DISCA,1.82,60.0
CAT,1.49,61.0
WMT,1.24,62.0
MA,1.23,63.0
MRNA,0.84,64.0
CSCO,0.63,65.0
OXY,0.42,66.5
KHC,0.42,66.5
GPS,0.41,68.0
TSLA,0.35,69.0
VIAC,0.1,70.0
GLW,0.07,71.0
NUE,-0.15,72.0
MGM,-0.2,73.0
BSX,-0.22,74.0
QCOM,-0.26,75.0
ORCL,-0.53,76.0
EOG,-0.63,77.0
C,-0.78,78.0
EXC,-0.82,79.0
WBA,-0.88,80.0
PFE,-1.33,81.0
CCL,-1.47,82.0
BAC,-1.48,83.0
BBWI,-1.66,84.0
BMY,-1.72,85.0
CAG,-1.86,86.0
CTRA,-2.06,87.0
BA,-2.25,88.0
CNP,-2.36,89.0
NEM,-2.38,90.0
CVX,-2.51,91.0
MRK,-2.58,92.0
AAL,-2.95,93.0
APA,-3.32,94.0
CERN,-3.34,95.0
INTC,-3.67,96.0
DISCK,-3.93,97.0
WDC,-4.68,98.0
ABBV,-4.71,99.0
MDLZ,-5.0,100.0
WMB,-5.17,101.0
FCX,-5.48,102.0
SLB,-5.67,103.0
SBUX,-6.11,104.0
ARE,-7.17,105.0
MO,-7.94,106.0
AMAT,-8.66,107.0
MRO,-11.31,108.0
PM,-13.23,109.0
AMD,-13.93,110.0
CAH,-16.59,111.0
NVDA,-18.21,112.0
