Stock,Accumulation/Distribution Value,Stocks_Ranked
F,53.24,1.0
KMI,47.27,2.0
BA,40.87,3.0
COP,34.22,4.0
KIM,31.91,5.0
MRK,31.48,6.0
VIAC,27.35,7.0
MS,24.63,8.0
BSX,21.98,9.0
C,19.88,10.0
JNJ,19.61,11.0
MPC,17.62,12.0
AMAT,15.55,13.0
PENN,15.39,14.0
CVS,14.65,15.0
VZ,12.36,16.0
GILD,11.33,17.0
ABBV,10.99,18.0
DVN,10.9,19.0
PM,10.34,20.0
KEY,9.69,21.0
CNP,9.54,22.0
AES,9.01,23.0
NI,8.97,24.0
NWSA,8.45,25.0
HPE,7.41,26.0
UAA,6.86,27.0
CTRA,6.66,28.0
GPS,6.44,29.0
SCHW,6.37,30.0
MO,5.81,31.0
FISV,5.53,32.0
CSCO,5.25,33.0
RCL,5.19,34.0
MSFT,4.47,35.0
CRM,4.35,36.0
QCOM,4.32,37.0
AAPL,4.26,38.0
HBAN,4.07,39.0
EXC,4.02,40.0
NEE,3.99,41.0
TWTR,3.75,42.0
HD,3.28,43.0
CL,2.76,44.0
LVS,2.55,45.0
PYPL,2.41,46.0
DISCK,1.98,47.0
TJX,1.8,48.0
BBWI,1.51,49.0
CNC,1.48,50.0
UAL,1.44,51.0
SBUX,1.38,52.0
NCLH,1.28,53.0
NLSN,1.0,54.0
PG,0.73,55.0
CCL,0.58,56.0
FITB,0.2,57.0
JPM,0.08,58.0
LUV,0.01,59.0
ATVI,-0.24,60.0
V,-0.35,61.0
EBAY,-0.42,62.5
TGT,-0.42,62.5
PEAK,-0.45,64.0
AMCR,-0.46,65.0
MDT,-0.63,66.0
MU,-0.69,67.0
LUMN,-0.95,68.0
DISCA,-0.97,69.0
TMUS,-0.98,70.0
PPL,-1.0,71.0
KO,-1.08,72.0
GE,-1.16,73.0
AAL,-1.18,74.0
XLNX,-1.34,75.0
AMZN,-1.42,76.0
RTX,-1.53,77.0
BAC,-1.62,78.0
ABT,-1.74,79.0
SO,-1.83,80.0
WMT,-1.99,81.5
INCY,-1.99,81.5
WBA,-2.02,83.0
NEM,-2.07,84.0
HPQ,-2.28,85.0
MGM,-2.38,86.0
MRNA,-2.39,87.0
CSX,-2.5,88.0
HST,-2.96,89.0
USB,-3.01,90.0
PBCT,-3.05,91.0
CVX,-3.11,92.0
FB,-3.17,93.0
NVDA,-3.18,94.0
WYNN,-3.27,95.0
FCX,-3.38,96.0
WMB,-3.44,97.0
MRO,-3.71,98.0
PEP,-3.98,99.0
NKE,-4.19,100.0
BMY,-4.84,101.0
VLO,-4.92,102.0
TXN,-5.18,103.0
APA,-6.35,104.0
VTRS,-6.45,105.0
PFE,-7.38,106.0
DOW,-7.81,107.0
JNPR,-9.56,108.0
BKR,-9.66,109.0
TSLA,-9.77,110.0
OXY,-9.81,111.0
RF,-11.23,112.0
KR,-11.71,113.0
CMCSA,-12.31,114.0
AMD,-12.57,115.0
HAL,-12.92,116.0
GM,-12.99,117.0
DIS,-13.3,118.0
XEL,-13.63,119.0
KHC,-15.07,120.0
MDLZ,-15.73,121.0
DAL,-17.9,122.0
WFC,-18.29,123.0
SLB,-20.96,124.0
XOM,-22.62,125.0
ORCL,-22.66,126.0
TFC,-27.08,127.0
IBM,-32.09,128.0
INTC,-52.23,129.0
T,-329.39,130.0
