Stock,Accumulation/Distribution Value,Stocks_Ranked
NWL,114.21,1.0
UAL,90.17,2.0
AMAT,70.61,3.0
DVN,57.38,4.0
CNC,53.87,5.0
CRM,52.29,6.0
PLD,48.9,7.0
FB,39.89,8.0
CTVA,39.77,9.0
MDLZ,27.52,10.0
VTRS,27.06,11.0
IVZ,26.21,12.0
COP,25.91,13.0
PGR,25.39,14.0
GLW,23.26,15.0
DISH,22.44,16.0
USB,22.14,17.0
BA,22.11,18.0
MO,21.02,19.0
CTSH,17.16,20.0
PBCT,15.84,21.0
CAH,15.54,22.0
TJX,15.3,23.5
TMUS,15.3,23.5
IBM,15.21,25.0
ATVI,13.96,26.0
INTC,13.91,27.0
FITB,13.54,28.0
PSX,13.15,29.0
CZR,13.11,30.0
AAPL,13.1,31.0
PEP,11.55,32.0
IP,11.46,33.0
CVS,11.44,34.0
NLOK,10.73,35.0
OMC,10.68,36.0
HPE,10.17,37.0
TXN,9.66,38.0
NLSN,9.5,39.0
C,9.45,40.0
BAC,8.85,41.0
MRK,8.57,42.0
PM,8.56,43.0
OXY,8.44,44.0
DAL,7.1,45.0
FAST,6.94,46.0
GS,6.73,47.0
JPM,6.52,48.0
BK,6.08,49.0
RCL,5.82,50.0
V,5.74,51.0
GIS,5.6,52.5
CCI,5.6,52.5
F,5.55,54.0
EMR,5.52,55.0
MA,5.11,56.0
HUM,5.01,57.0
KMI,4.95,58.0
WMT,4.91,59.0
XOM,4.88,60.0
UAA,4.65,61.0
WRK,4.64,62.0
DHI,4.58,63.0
NEM,4.49,64.0
MRNA,4.0,65.0
ABT,3.81,66.0
EIX,3.73,67.0
MAS,3.58,68.0
RF,3.52,69.0
VZ,3.34,70.0
CVX,3.2,71.0
HWM,3.08,72.0
SBUX,2.66,73.0
KR,2.61,74.0
WY,2.59,75.0
PFE,2.58,76.0
AVGO,1.91,77.0
CPB,1.89,78.0
COF,1.88,79.0
MOS,1.85,80.0
ZTS,1.65,81.0
WDC,1.56,82.0
MGM,1.55,83.0
TWTR,1.48,84.0
MU,1.4,85.0
MS,1.3,86.0
O,1.28,87.0
DUK,1.26,88.0
TGT,1.25,89.0
ETSY,1.22,90.0
FOXA,1.12,91.0
CERN,1.03,92.5
MMM,1.03,92.5
WMB,1.01,94.0
KIM,0.99,95.5
FIS,0.99,95.5
PAYX,0.83,97.0
MCD,0.69,98.0
CARR,0.43,99.0
PG,0.41,100.0
D,0.4,101.0
DIS,0.35,102.0
AAL,0.29,103.0
DG,0.09,104.0
CSCO,0.07,105.0
AIG,-0.05,106.0
NKE,-0.19,107.0
SYF,-0.22,108.5
OKE,-0.22,108.5
HST,-0.29,110.0
HPQ,-0.45,111.0
CCL,-0.48,112.0
GPN,-0.54,113.0
FISV,-0.6,115.0
AFL,-0.6,115.0
AEP,-0.6,115.0
CMCSA,-0.82,117.0
TAP,-1.04,118.0
DISCK,-1.09,119.0
FANG,-1.19,120.0
JNJ,-1.21,121.0
AES,-1.3,122.0
AMZN,-1.31,123.0
QCOM,-1.38,124.0
KEY,-1.39,125.0
AXP,-1.43,126.0
EBAY,-1.58,127.0
SLB,-1.61,128.0
WFC,-1.69,129.0
KHC,-1.73,130.0
EW,-1.81,131.0
CF,-1.84,132.0
T,-1.93,133.0
BKR,-1.94,134.0
DISCA,-2.02,135.0
BBWI,-2.04,136.0
ORCL,-2.17,137.0
AKAM,-2.22,138.5
NCLH,-2.22,138.5
DOW,-2.27,140.0
LLY,-2.35,141.0
PYPL,-2.37,142.0
SCHW,-2.41,143.0
MSFT,-2.54,144.0
BMY,-2.58,145.0
BBY,-2.68,146.0
APA,-2.74,147.0
PPL,-3.1,148.0
MCHP,-3.11,149.0
EOG,-3.14,150.0
ACN,-3.19,151.0
NVDA,-3.23,152.0
MRO,-3.34,153.5
LUV,-3.34,153.5
ABBV,-3.43,155.0
RTX,-3.52,156.0
LVS,-3.61,157.0
ED,-3.68,158.0
IPG,-3.7,159.0
IRM,-3.72,160.5
UNH,-3.72,160.5
NI,-3.74,162.0
CNP,-3.81,163.0
PXD,-4.19,164.0
VLO,-4.26,165.0
UNP,-4.57,166.0
LUMN,-4.62,167.0
VFC,-4.69,168.0
VIAC,-4.89,169.0
EXC,-4.91,170.0
NEE,-4.96,171.0
BSX,-4.98,172.0
CAG,-5.09,173.0
HD,-5.19,174.0
GE,-5.43,175.0
PENN,-5.6,176.0
CSX,-5.61,177.0
CTRA,-5.91,178.5
MET,-5.91,178.5
TFC,-5.94,180.0
CL,-6.29,181.5
AMD,-6.29,181.5
NWSA,-6.35,183.0
ADBE,-7.62,184.0
LEN,-7.7,185.0
GILD,-7.78,186.0
SO,-7.87,187.0
PNC,-8.55,188.0
STT,-8.64,189.0
AMT,-8.66,190.0
MPC,-8.93,191.0
HES,-8.97,192.0
LOW,-9.95,193.0
NUE,-10.21,194.0
GM,-10.79,195.0
XLNX,-11.75,196.0
CFG,-12.01,197.0
KO,-12.14,198.0
DRE,-12.49,199.0
ADI,-14.03,200.0
FCX,-14.57,201.0
MNST,-14.76,202.0
LW,-15.28,203.0
MDT,-15.51,204.0
HON,-15.95,205.0
AMCR,-15.97,206.0
GPS,-16.34,207.0
HBAN,-17.26,208.0
COST,-17.98,209.0
CAT,-18.55,210.0
NFLX,-18.82,211.0
TSLA,-21.57,212.0
JCI,-27.19,213.0
PEAK,-28.99,214.0
FTNT,-30.29,215.0
HAL,-32.32,216.0
WYNN,-53.5,217.0
WBA,-56.83,218.0
JNPR,-78.81,219.0
ENPH,-173.33,220.0
